ROI,start_s,end_s,duration_s,peak_to_peak
ROI.03 [],51.277,61.277,10.0,0.027463232382924262
ROI.03 [],51.793,61.793,10.0,0.018755129823429962
ROI.03 [],52.277,62.277,10.0,0.018755129823429962
ROI.03 [],52.787,62.787,10.0,0.018755129823429962
ROI.03 [],53.278,63.278,10.0,0.017777464601407226
ROI.03 [],53.777,63.777,10.0,0.017777464601407226
ROI.03 [],54.279,64.279,9.999999999999993,0.019373006518606323
ROI.03 [],54.778,64.77799999999999,9.999999999999993,0.019373006518606323
ROI.03 [],55.288,65.288,10.0,0.019373006518606323
ROI.03 [],55.777,65.777,10.0,0.019373006518606323
ROI.03 [],56.277,66.277,10.0,0.01955916279502811
ROI.03 [],56.789,66.789,10.0,0.01955916279502811
ROI.03 [],57.277,67.277,10.0,0.01955916279502811
ROI.03 [],57.778,67.77799999999999,9.999999999999993,0.01955916279502811
ROI.03 [],58.277,68.277,10.0,0.01955916279502811
ROI.03 [],58.787,68.787,10.000000000000007,0.018193171472404228
ROI.03 [],59.279,69.279,9.999999999999993,0.019772051561867343
ROI.03 [],59.777,69.777,10.0,0.02461597505545153
ROI.03 [],60.277,70.277,10.0,0.02461597505545153
ROI.03 [],60.777,70.777,10.0,0.02461597505545153
ROI.03 [],61.287,71.287,10.000000000000007,0.02461597505545153
ROI.03 [],61.778,71.77799999999999,9.999999999999993,0.02461597505545153
ROI.03 [],62.288,72.288,10.0,0.02461597505545153
ROI.03 [],62.777,72.777,10.0,0.030024357481284108
ROI.03 [],63.278,73.27799999999999,9.999999999999993,0.030024357481284108
ROI.03 [],63.778,73.77799999999999,9.999999999999993,0.030024357481284108
ROI.03 [],64.278,74.278,10.0,0.030024357481284108
ROI.03 [],64.778,74.778,10.0,0.030024357481284108
ROI.03 [],65.279,75.279,10.0,0.030024357481284108
ROI.03 [],65.778,75.778,10.0,0.030024357481284108
ROI.03 [],66.278,76.278,10.0,0.030024357481284108
ROI.03 [],66.779,76.779,10.0,0.030024357481284108
ROI.03 [],67.288,77.288,10.0,0.030024357481284108
ROI.03 [],67.783,77.783,10.0,0.030024357481284108
ROI.03 [],68.284,78.284,10.0,0.030681112925502428
ROI.03 [],68.785,78.785,10.0,0.04981722150316188
ROI.03 [],69.278,79.278,10.0,0.08589460173076079
ROI.03 [],69.777,79.777,10.0,0.08589460173076079
ROI.03 [],70.295,80.295,10.0,0.3188146564787732
ROI.03 [],70.778,80.778,10.0,0.3188146564787732
ROI.03 [],71.288,81.288,10.0,0.5166785480447422
ROI.03 [],71.777,81.777,10.0,0.5166785480447422
ROI.03 [],72.289,82.289,10.0,0.6377665791049875
ROI.03 [],72.777,82.777,10.0,0.6377665791049875
ROI.03 [],73.278,83.278,10.0,0.6442720798622351
ROI.03 [],73.777,83.777,10.0,0.6442720798622351
ROI.03 [],74.278,84.278,10.0,0.6442720798622351
ROI.03 [],74.777,84.777,10.0,0.6442720798622351
ROI.03 [],75.288,85.288,10.0,0.6442720798622351
ROI.03 [],75.778,85.778,10.0,0.6413684989837977
ROI.03 [],76.288,86.288,10.0,0.6349682429449575
ROI.03 [],76.779,86.779,10.0,0.6349682429449575
ROI.03 [],77.278,87.278,10.0,0.6349599471037297
ROI.03 [],77.787,87.787,10.0,0.6185826096950183
